"Horodateur","Please share anything that helps contextualize your answers — age, country, gender, or even a personal memory you find relevant. Share only what you are comfortable with.","What devices do you mainly use? How often in a day?","What platforms are you mostly using on the internet?  How often in a day? ","Within a day, how many times do you think you login, or engage in an act that requires you to confirm your identity online or with a device? ","When was the last time you were locked out of an account?","What is the most frustrating moment, question or action you face when logging into a website?","What’s a login experience you actually liked or found satisfying? ","Should your online accounts belong to you? What does online ownership mean to you?","What other ways do you think online platforms could use to identify you?","Any questions ?"
"2025/09/11 5:24:14 AM UTC+3","White & English, (closeted irl) nonbinary, nearly 32. ","I only use a laptop.","YouTube, tumblr (although not as much or as often these days...), Flight Rising (petsim website), Discord. I think... it depends on the day - on a workday I'm on either of these for about 2 or 3 hours before and after work, and on my off days, could be most of the day, or only in the evening depending on if I'm doing anything with my family.","Very rarely; last two times (that I remember) that I had to confirm my identity was using YouTube to view a music video that was apparently blocked for sensitive reasons (Phantogram's ""When I'm Small""), and when I had to confirm that I was an adult on discord so I could actually see images (because of recent UK laws).","Permanently, I think it was a previous email address that I couldn't, for the life of me nor anyone else, remember the password for. So I've lost a lot of stuff with that. Temporarily, it might've been when I locked myself out of my Flight Rising account by forgetting the password again, but at least the time limit was 2 hours and I did have that password written down *somewhere*.","Anything that asks me to confirm who I am - a text to my mobile, a requirement of my face, or something. Any ""extra"" ""safety"" step. I do detest 2-factor authentification - something that was implemented in my workplace not long after I started working there, and it makes it even more impossible to log in to my work email and other services.

Veering off-topic maybe just to complain about my workplace, but I'm also supposed to request holidays through the email system-slash-whatever it is (I don't care enough) so that HR can properly organise hearing tests and the like around them, but since I can't access it without having to call someone else to re-set my password and 2-factor authentification, I don't bother, and instead go straight to the hall manager(s) to ask about it, which they oblige (if there's not too many people asking for the same days off already). Maybe if HR weren't busybodying about 2-factor authentification I might actually use the damn thing... but here we are.","I like logging into Flight Rising, if that counts. My dragons :)

But no, I don't actually recall a logging-in that I *enjoyed*. It all just seems like a hassle, even though it means I log-in to something that is *mine* and therefore a bit more personalised, at the least, like my YouTube account (where I stay logged in anyway) with playlists that I make.","Yes.

I do feel like I have a too-simplistic view of online ownership, but my account is my account, which means it's mine and for me. My things :) and also my responsibility.","I'm honestly not sure. I can understand calling and texting (as from a bank) being important, but I do hate it. Just lemme in. But yeah no I don't know. Echolocation would be bonkers, though.","I am curious as to how people's answers will contribute to your thesis, like how it'll inform the outcome of it (?), and also how conflicting people's answers could be and what that means - more than likely, no singular ""one size fits all"" format of login for everyone. If that makes sense. This is also not an actual question, oh boy. Anyway, looking forward to the follow-up survey :) thank you."
"2025/09/11 5:29:58 AM UTC+3","I am a 33 year old, US American white, gay, cis-man, and was introduced to computers through my public schooling in the 90s, I was late to having a home computer by US American standards ","I use my phone, a personal Macbook laptop and a work Dell PC Laptop. I use my phone regularly during waking hours, my work computer for 8 hours a day on weekdays and my personal laptop for a couple hours a day on weekends","I am on Tumblr on and off everyday, otherwise I am using Excel spreadsheets and work programs on my computers","For work settings I have to 
dual factor authenticate to enter my credentials everyday for weekdays, it's less often on my phone or personal computer, which usually have saved log-ins","At work I am regularly locked out by mis-remembered passwords and bad dual factor authentications ","I HATE when I a website has an old password saved or remembers a username but not a password. I hate being locked out of something I know I have access to.","When my details are properly remembered and no dual factor authentication is needed","I believe there should be some protection but I want to be able to access that which I am entitled to, and I shouldn't be locked out for a new password EVER. LET ME LOG IN AND THEN ASK FOR A FRESH PASSWORD.","Tbh I think it's scary but I get the stupid thumb print because I hate that I have to change passwords ever or that my systems don't remember me for any reason when I am the owner and user of my accounts.",""
"2025/09/11 5:52:44 AM UTC+3","I am from the USA and I'm 30 years old, which I'd say is young enough to have grown up with computers but old enough to remember a time before they were so ubiquitous. Growing up I was taught to be very wary of the internet, especially people who might try to steal my information. Posting my face or details about myself online still feels very vulnerable for me and I try to avoid doing it. I've also worked as a web developer, so I have a bit of experience on the other side of things as an internet user","I use my phone and my desktop computer the most. Throughout the day I'll use my phone for music and podcasts, to look things up, to get directions on how to get places, and to keep in touch with friends and family. My computer I mainly use for creating art these days! Though I also use it for entertainment.","I've been trying to lower my screen time so I don't use all of these as much as I used to, but I'd say the main ones are tumblr, instagram, pinterest, and youtube. tumblr and instagram I use roughly once a month or so while pinterest and youtube I use just about every day, either for research or for fun. It's tough to say how many times throughout the day I use them though... maybe 5-10 times? How long I use them for can also vary quite a bit depending on what I'm looking for or if I'm just trying to veg out. I also use spotify a lot throughout the day, though I've been trying to get away from this as well to try and have more focused time working in silence. Oh and I use gmail for email, which I probably check 3-5 times a day. That one's one of the few apps I have notifications enabled for, so I see notifications as they come in. Ah also Discord, which I'm more likely to check when I see a notification since it's probably from a friend rather than LinkedIn or something lol.","On an average day it's probably 0. I'm almost always using my own devices that I stay logged in on so I don't have to log in much. The only exceptions i can think of are things related to banking or health insurance or billing-related stuff. Apps that contain more sensitive information usually. Some apps that I'm trying to use less I always log out of when I'm done to try and discourage me from using them too much, so those I do have to log into every time I use them, but I don't use them every day anymore.","Just last week actually! I was trying to log into my banking app and I must have typed my password in wrong so I was rejected, then assumed I had remembered the password wrong and started trying different passwords until I got locked out. It wasn't too bad to get back in, but the whole process did feel a bit clunky at times. I guess I'm glad they're protecting my information though. The worst is when you get locked out of goodreads or something. Like ok. guess i'm not using goodreads anymore, you know?","Lately I've been the most frustrated by log in walls that necessitate you login to use a site. I find it so frustrating for example when a friend sends me a tiktok link that I can't watch because I don't have an account, or I have to edit the query param in the url or inspect the page and delete elements to make whatever I'm looking at visible again. I don't think I would have ever made a tumblr account had I not been able to lurk on a few people's blogs before finally deciding to go ahead and join, but now many people's tumblrs are unscrollable if you're not already logged in. I find it very frustrating that that seems to increasingly be the norm on the internet. 
As for the actual login process itself, I think the most frustrating thing is when I'm told I don't have the right password and I can't figure it out, so I go to reset the password and then it tells me that the new password can't be the same as the old password... like what!! when did I change it! lol","If I'm logging in on my phone and receive a code via text message, my phone automatically suggests it in the two factor authentication field so I don't have to leave that login window to open my messages and get the code. I've heard that 2FA via text message isn't as secure as using the login code apps, so maybe that's a convenience I should try and leave behind though...","Ideally yes my accounts would belong to me. One of the things I was taught growing up was that once something goes on the internet, it is there forever. I'm not sure I totally believe that now, but I do feel that being anonymous and being able to disappear completely are important freedoms that should be protected online. Online ownership to me means getting to control who knows what about me. Why is it so difficult for me to find an old tumblr post or a tweet that I know the exact wording of, but if someone knows my phone number they can find my address and the contact information of everyone I've ever known? Why do so many people (at least where I live) seem so eager to take away our right to privacy online and who stands to benefit from that? If I can't own my online accounts, then so be it. But these people are insane if they think I'm going to upload my drivers license for the chance to look at some posts, you know?","There are probably many ways, but I think a lot of them are deeply flawed at best and actively harmful at worst. I find the recent rise of using A.I. or requiring government id for age verification to be very concerning, for example. As far as securing one's account, I don't really have any ideas outside of the typical username, password, two factor authentication system we have now. Maybe we could do more to protect that information to ensure our login info remains ours, or make it easier to recover accounts when they are compromised, but that just raises more questions about how to handle those things I think.","I'd be curious to know how the process of logging in has changed over the years. There's so much focus on capturing people's time and attention to sell ad space within the modern internet that I wonder if the log in process has fallen by the wayside a bit. We also have a lot of services now that handle things like login so web developers aren't having to create their own log in service every time they build a site. Which seems like a good thing since it provides a secure login experience presumably created/looked over by people who know what they're doing, but maybe opens things up for vulnerability since an opening on one site would mean an opening on every site that uses that service? or something....."
"2025/09/11 6:02:14 AM UTC+3","26/ USA/ Nonbinary","Phone, Computer, Misc. Gaming devices. ","Flight Rising (a few times a day), Youtube, Discord, Tumblr. Sometimes I use twitter but I have not updated my app in 5 years and it stopped working when it turned into X. I use it on my PC sometimes.","Daily for schoolwork (Brightspace D2L) but I don't usually sign out unless I have to because it is annoying as hell.","Not in a loooooong time. I don't remember. ","Telephone number. I hate when the stupid thing asks to text me. D2L and other college related sites especially want my phone number way too often. Also I Hate Captchas. ","When it's just Username and Password. Thank you. That's all it should be for like 90% of sites. "," I want my accounts to be mine and I don't want to have to link them to a billion other things that identify me. I highly dislike targeted advertisement systems and the loss of anonymity online.","They should leave me alone forever! ","addressed is spelt wrong in the second paragraph btw. I wish you luck and success. "
"2025/09/11 6:13:50 AM UTC+3","22, United States, Agender","Computer (Most of the time 4-6 hr), Phone (Other times 1-2 hr)","Tumblr (hr unknown)/Instagram (1-2 hr)/ College Programs (3-4 hr)","Maybe 5 times? Mostly th college websites want to confirm who I am.","Just this morning trying to log into my microsoft computer","When the website won't tell me how many chances I have left to type in my password.","Not sure, I personally never thought of it.","My accounts should be mine. Even after the website has been terminated or something, they should have an archive at the least. Especially if the online ownership is towards contents, like movies, documents I've written, things I've bought personallym","Unsure...","Nope! "
"2025/09/11 6:20:38 AM UTC+3","25 y/o white female from Louisiana.","I use my iPhone 15 and my work laptop a majority of the day and my PS5 during leisure time. There is not a lot of time I don’t have some sort of screen in front of me—I would say probably 10 hours.","TikTok, Discord, Bluesky, around 9 jours","Two or three times a day","Last week while trying to set up credentials for a new job","Two-factor is so annoying sometimes. I do understand it’s for heightened security, but sometimes bouncing between my phone to search for a code or an email or opening a separate app becomes clunky and inconvenient.","The iPhone’s face recognition has made so many of my logins on my phone smoother. It’s a double-edged sword. A lot of people don’t trust the facial recognition, out of fear that companies may be collecting and skimming face shapes and data for AI training or even citizen databases, but for me personally, I’ve found it useful. ","Online ownership to me means I am the only person who gets to edit any content or algorithms that may develop around my searching habits. Ads are one thing; I haven’t experienced this personally, but I have heard anecdotes about kids on YouTube being fed right-wing content based on nothing at all. It’s concerning and raises worries for me about how much say we really have in our online experience.","Im genuinely not sure. Facial recognition isn’t always feasible for everything, and some websites like banking managers or government websites (to name a couple) could benefit from added security. At this point, it’s about convenience, which is a constantly moving target and could be hard to pin down.","Not a question, but I feel the need to note my internal struggle between convenience/ease of access and security. I’m a person who typically uses variations of the same password with slight alterations depending on the security level. If I could just use one, I would, but with that would come a level of vulnerability and access to a lot of personal information. It’s tough to find that sweet spot of convenience and safety.

I hope this helps!!!"
"2025/09/11 7:41:14 AM UTC+3","34 years old, USA, Female.","iPhone, iPad, and desktop computer.","Gmail, Instagram, Discord, TikTok, banking apps, Google Drive and Sheets, maybe Facebook. Gmail is constantly open, while all the socials are kept at probably 4 hours a day altogether. Google Workspace is opened once a week or as needed.","I have saved all my passwords in all my personal devices so I don't need to ""log in."" However, there are devices that will ask me to log in sometimes, so I would say, 5 times a day.","I can't remember. I would say 10+ years ago.","If it requires me to do the photo captcha.","Apple's Touch ID Fingerprint login was satisfying.","Yes. All encrypted data that's involved with my account is downloadable and retrievable by me.","Nothing that I can think of.","None."
"2025/09/11 8:14:50 AM UTC+3","30; The Netherlands; F; ","PC, a large part of the day; Iphone, often; laptop, currently rarely but about a month ago my laptop and pc use were switched around.","Battle.net, currently often; discord, very often; whatsapp, occasionally; youtube, often; tiktok, regularly; instagram, occasionally; web browser (chrome on pc and safari on iphone), often; banking app, occasionally. Probably more but can’t think of them, rarely to occasionally ","Manually, it ranges to about once to five times a day depending on where I need to login and how often I check my email since I still haven’t gotten around to installing thunderbird on my pc. A lot of logins on the pc happen “automatically” because of the “remember my login” feature","Not specifically locked out, but while I was still logged in and could log in on different devices through the discord mobile app, I had no record of my at the time discord password and the security key on my phone didn’t work so I had no way of changing it. This was the case for months until I found that I had saved the security keys on my laptop and I was able to fix this issue. I resolved this about a month or three ago.","“Is it really safe to save the passwords on my google account? I don’t really trust google”
But I also don’t have enough energy to do anything about it","I guess none, but I also don’t generally have any particularly negative experiences with logging in. It’s kinda just a neutral experience for me.","I mean kinda, yeah since they are made by you and tied to your information. Then again, I am not ghat well versed in the philosophy behind ownership and what constitutes as yours when it comes to an account created by you in an app made by someone else. I think it makes sense that the account belongs to you with the caveat that if the app ceases to exist, your account and with it your ownership of it might too.","I think the currently widely used methods of passwords with 2-factor authentication making use of email, phone number, security key, etc, are pretty good and go as far as you can go without encroaching into dangerous territory when it comes to privacy laws. Unless it’s government apps since then your account is generally tied to your personal information already in the Netherlands, which is pretty useful and good in its specific use case.","Not particularly "
"2025/09/11 2:40:30 PM UTC+3","24, Switzerland and France, male, deep seated hatred for login processes","iphone and windows PC, daily","social media, messaging (whatsapp, telegram), google (youtube, drive, gmail, etc) almost daily. Bank, microsoft outlook, orange/salt, EDF, a few times a month when dealing with bills or other responsibilities.","most of my login is automatic, but i still regularly get signed out of my accounts. Maybe once every 2 days i need to login back into some platform or service","yesterday","Having to use my phone all the time. Sometimes i'm out of battery, or my phone is charging in another room. Having to wait or physically interrupt what i'm doing to get up and check an SMS or something is annoying. I use to have a 2fa app on my PC that discontinued the app and now is exclusively on mobile. WHY???

Or more generally, the ""suspicious actions"" login you out or google suddenly deciding they're not sure you're you and needing extra email confirmation or other steps to let you in. As someone who regularly switches location (CH-FR) i get this a lot, despite using the same devices in each location.","when autofill/remember me works like it's supposed to","I get that inactive accounts are a waste of resources, and I've always received warnings if my account were to be deleted, so on that end i understand and don't mind that aspect of ""control"", provided they allow you to download your data prior to the deletion. Other then that scenario, ownership for me means that you are guaranteed access to your account and information, and ideally exterior access to that information is ran by you first. But currently it's too much ""opt out"" instead of ""opt in"". A lot of our data is sold without our consent and even without our knowledge, through overly long terms and conditions no one reads.","Honestly i don't know, it's a balance of convenience vs security risks. I'm not a fan of things like face recognition or fingerprints. I would rather it be things like passwords, but maybe less easily breached. Perhaps something like a digital signature activated via a specific action from us, but local to the device. None of this switching from phone to PC and going through emails or SMS etc. ","The subject is very interesting and overlooked, I'm curious what the ideal goal of this survey is in the end "
"2025/09/11 3:08:02 PM UTC+3","36, male, Canada","Laptop (many hours a day), Nintendo (some hours every few days)","E-mail, Discord, gaming","E-mail: Multiple times daily (once per multiple accounts). Most other stuff is ""remember me""-d.","No memory of it.","Any time a website refuses to accept a password to login (e.g. ""check your e-mail for a code""), or requires 2FA (not everyone has a phone nor should).","Anything simple. Just an ID and a password, nothing more.","The account is mine and no one else's. However, it should be possible to allow others to use it in an emergency, if I choose to.","They could do all kinds of evil stuff, like requiring government ID or assigning a token to the hardware. Anonymity is a very important part of the internet.",""
