"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"58N2UKUR","preprint","2024","Ungless, Eddie L.; Markl, Nina; Ross, Björn","Experiences of Censorship on TikTok Across Marginalised Identities","","","","10.48550/arXiv.2407.14164","http://arxiv.org/abs/2407.14164","TikTok has seen exponential growth as a platform, fuelled by the success of its proprietary recommender algorithm which serves tailored content to every user - though not without controversy. Users complain of their content being unfairly suppressed by ''the algorithm'', particularly users with marginalised identities such as LGBTQ+ users. Together with content removal, this suppression acts to censor what is shared on the platform. Journalists have revealed biases in automatic censorship, as well as human moderation. We investigate experiences of censorship on TikTok, across users marginalised by their gender, LGBTQ+ identity, disability or ethnicity. We survey 627 UK-based TikTok users and find that marginalised users often feel they are subject to censorship for content that does not violate community guidelines. We highlight many avenues for future research into censorship on TikTok, with a focus on users' folk theories, which greatly shape their experiences of the platform.","2024-07-19","2024-11-04 13:10:35","2024-11-04 13:10:35","2024-11-04 13:10:35","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2407.14164","","C:\Users\Chakir\Zotero\storage\6Q8JRLEW\Ungless et al. - 2024 - Experiences of Censorship on TikTok Across Marginalised Identities.pdf; C:\Users\Chakir\Zotero\storage\RAC86K3W\2407.html","","","Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","arXiv:2407.14164","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7F8QBE8Y","journalArticle","2023","Feshbach, Talia","Self-Censoring on Social Media Sites","Senior Theses, Projects, and Awards","","","","https://works.swarthmore.edu/theses/310","","2023-01-01","2024-11-04 13:10:49","2024-11-04 13:10:49","","","","","","","","","","","","","","","","","","","","COinS","","","","C:\Users\Chakir\Zotero\storage\XLN2D9EF\310.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S542IV7D","webpage","","","#Seggsed: Sex, Safety, and Censorship on Tiktok - ProQuest","","","","","https://www.proquest.com/openview/a1fc61f474e6dcf32935d52a710dccbf/1?pq-origsite=gscholar&cbl=18750&diss=y","Explore millions of resources from scholarly journals, books, newspapers, videos and more, on the ProQuest Platform.","","2024-11-04 13:11:06","2024-11-04 13:11:06","2024-11-04 13:11:06","","","","","","","#Seggsed","","","","","","","fr","","","","","","","","","C:\Users\Chakir\Zotero\storage\PQFGV9TU\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTBXCFCR","journalArticle","2024","Jerasa, Sarah; Burriss, Sarah K.","Writing with, for, and against the algorithm: TikTokers’ relationships with AI as audience, co-author, and censor","English Teaching: Practice & Critique","","1175-8708","10.1108/ETPC-08-2023-0100","https://doi.org/10.1108/ETPC-08-2023-0100","Purpose Artificial intelligence (AI) has become increasingly important and influential in reading and writing. The influx of social media digital spaces, like TikTok, has also shifted the ways multimodal composition takes place alongside AI. This study aims to argue that within spaces like TikTok, human composers must attend to the ways they write for, with and against the AI-powered algorithm. Design/methodology/approach Data collection was drawn from a larger study on #BookTok (the TikTok subcommunity for readers) that included semi-structured interviews including watching and reflecting on a TikTok they created. The authors grounded this study in critical posthumanist literacies to analyze and open code five #BookTok content creators’ interview transcripts. Using axial coding, authors collaboratively determined three overarching and entangled themes: writing for, with and against. Findings Findings highlight the nuanced ways #BookTokers consider the AI algorithm in their compositional choices, namely, in the ways how they want to disseminate their videos to a larger audience or more niche-focused community. Throughout the interviews, participants revealed how the AI algorithm was situated differently as both audience member, co-author and censor. Originality/value This study is grounded in critical posthumanist literacies and explores composition as a joint accomplishment between humans and machines. The authors argued that it is necessary to expand our human-centered notions of what it means to write for an audience, to co-author and to resist censorship or gatekeeping.","2024-01-01","2024-11-04 13:11:14","2024-11-04 13:11:14","2024-11-04 13:11:14","118-134","","1","23","","","Writing with, for, and against the algorithm","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Publishing Limited","","C:\Users\Chakir\Zotero\storage\QN2HXU9F\html.html","","","Artificial intelligence; BookTok; Critical posthumanist literacy; Multimodal composition; TikTok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLPSPKZF","journalArticle","2022","Pilipets, Elena; Paasonen, Susanna","Nipples, memes, and algorithmic failure: NSFW critique of Tumblr censorship","New Media & Society","","1461-4448","10.1177/1461444820979280","https://doi.org/10.1177/1461444820979280","In November 2018, after being suspended from Apple’s App Store for hosting child pornography, Tumblr announced its decision to ban all NSFW (not safe/suitable for work) content with the aid of machine-learning classification. The decision to opt for strict terms of use governing nudity and sexual depiction was as fast as it was drastic, leading to the quick erasure of subcultural networks developed over a decade. This article maps out platform critiques of and on Tumblr through a combination of visual and digital methods. By analyzing 7306 posts made between November 2018 (when Tumblr announced its new content policy) and August 2019 (when Verizon sold Tumblr to Automattic), we explore the key stakes and forms of user resistance to Tumblr “porn ban” and the affective capacities of user-generated content to mobilize engagement.","2022-06-01","2024-11-04 13:11:47","2024-11-04 13:11:47","2024-11-04 13:11:47","1459-1480","","6","24","","","Nipples, memes, and algorithmic failure","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications","","C:\Users\Chakir\Zotero\storage\37AY52LM\Pilipets et Paasonen - 2022 - Nipples, memes, and algorithmic failure NSFW critique of Tumblr censorship.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWJF5DX4","conferencePaper","2020","Sundara Raman, Ram; Shenoy, Prerana; Kohls, Katharina; Ensafi, Roya","Censored Planet: An Internet-wide, Longitudinal Censorship Observatory","Proceedings of the 2020 ACM SIGSAC Conference on Computer and Communications Security","978-1-4503-7089-9","","10.1145/3372297.3417883","https://dl.acm.org/doi/10.1145/3372297.3417883","Remote censorship measurement techniques offer capabilities for monitoring Internet reachability around the world. However, operating these techniques continuously is labor-intensive and requires specialized knowledge and synchronization, leading to limited adoption. In this paper, we introduce Censored Planet, an online censorship measurement platform that collects and analyzes measurements from ongoing deployments of four remote measurement techniques (Augur, Satellite/Iris, Quack, and Hyperquack). Censored Planet adopts a modular design that supports synchronized baseline measurements on six Internet protocols as well as customized measurements that target specific countries and websites. Censored Planet has already collected and published more than 21.8 billion data points of longitudinal network observations over 20 months of operation. Censored Planet complements existing censorship measurement platforms such as OONI and ICLab by offering increased scale, coverage, and continuity. We introduce a new representative censorship metric and show how time series analysis can be applied to Censored Planet's longitudinal measurements to detect 15 prominent censorship events, two-thirds of which have not been reported previously. Using trend analysis, we find increasing censorship activity in more than 100 countries, and we identify 11 categories of websites facing increasing censorship, including provocative attire, human rights issues, and news media. We hope that the continued publication of Censored Planet data helps counter the proliferation of growing restrictions to online freedom.","2020-11-02","2024-11-04 13:11:53","2024-11-04 13:11:53","2024-11-04","49–66","","","","","","Censored Planet","CCS '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\Chakir\Zotero\storage\7Q9MWE2Y\Sundara Raman et al. - 2020 - Censored Planet An Internet-wide, Longitudinal Censorship Observatory.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R848GR3H","book","2013","Hui Kyong Chun, Wendy","Programmed visions: software and memory","","978-0-262-51851-2","","","","","2013","2025-04-10 14:55:08","2025-04-10 14:55:08","","","","","","","","Programmed visions","Software studies","","","","MIT press","Cambridge (Mass.)","eng","","","","","BnF ISBN","005.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBWURNKT","book","2021","Chun, Wendy Hui Kyong; Barnett, Alex H.","Discriminating data: correlation, neighborhoods, and the new politics of recognition","","978-0-262-04622-0 978-0-262-36726-4 978-0-262-36725-7","","","","","2021","2025-04-10 14:55:40","2025-04-10 14:55:40","","","1","","","","","Discriminating data","","","","","The MIT Press","Cambridge, Massachusetts","eng","","","","","K10plus ISBN","","","","C:\Users\Chakir\Zotero\storage\HDA6SNCR\Chun et Barnett - 2021 - Discriminating data correlation, neighborhoods, and the new politics of recognition.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2Z4FEWQ","book","2008","Chun, Wendy Hui Kyong","Control and freedom: power and paranoia in the age of fiber optics","","978-0-262-53306-5","","","","","2008","2025-04-10 14:55:48","2025-04-10 14:55:48","","","364","","","","","Control and freedom","","","","","MIT","Cambridge, Mass. London","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QYBJCPV","book","2016","Richards, Norvin","Contiguity theory","","978-0-262-03442-5 978-0-262-52882-5","","","","","2016","2025-04-10 14:55:58","2025-04-10 14:55:58","","","","","","","","","Linguistic inquiry monographs","73","","","The MIT press","Cambridge London","eng","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
